x_over_L,P_over_Pt,Mach,ro,u,P
1.56746030e-01,8.45291376e-01,4.95711029e-01,1.22697496e+00,1.68778671e+02,1.01598109e+05
1.56746030e-01,8.45400035e-01,4.95516658e-01,1.22708845e+00,1.68715530e+02,1.01611164e+05
1.60714284e-01,8.45492601e-01,4.95363593e-01,1.22718418e+00,1.68666061e+02,1.01622289e+05
1.60714284e-01,8.45380783e-01,4.95566338e-01,1.22706771e+00,1.68731949e+02,1.01608852e+05
1.60714284e-01,8.45267236e-01,4.95770752e-01,1.22694993e+00,1.68798309e+02,1.01595203e+05
1.64682552e-01,8.45591128e-01,4.95202929e-01,1.22728598e+00,1.68614197e+02,1.01634133e+05
1.64682552e-01,8.45474780e-01,4.95414943e-01,1.22716546e+00,1.68683060e+02,1.01620148e+05
1.64682552e-01,8.45357597e-01,4.95628506e-01,1.22704387e+00,1.68752426e+02,1.01606062e+05
1.68650791e-01,8.45694661e-01,4.95034873e-01,1.22739327e+00,1.68559921e+02,1.01646578e+05
1.68650791e-01,8.45574260e-01,4.95256603e-01,1.22726810e+00,1.68632019e+02,1.01632109e+05
1.68650791e-01,8.45452607e-01,4.95479822e-01,1.22714198e+00,1.68704544e+02,1.01617484e+05
1.72619045e-01,8.45551848e-01,4.95325595e-01,1.22724485e+00,1.68654861e+02,1.01629414e+05
1.72619045e-01,8.45678389e-01,4.95092094e-01,1.22737563e+00,1.68578995e+02,1.01644625e+05
1.72619045e-01,8.45803261e-01,4.94860023e-01,1.22750580e+00,1.68503479e+02,1.01659633e+05
1.76587284e-01,8.45916510e-01,4.94678587e-01,1.22762311e+00,1.68444931e+02,1.01673242e+05
1.76587284e-01,8.45786691e-01,4.94921505e-01,1.22748816e+00,1.68523972e+02,1.01657641e+05
1.76587284e-01,8.45655203e-01,4.95166153e-01,1.22735155e+00,1.68603546e+02,1.01641836e+05
1.80555537e-01,8.46034229e-01,4.94491249e-01,1.22774529e+00,1.68384476e+02,1.01687391e+05
1.80555537e-01,8.45898569e-01,4.94746119e-01,1.22760451e+00,1.68467407e+02,1.01671086e+05
1.80555537e-01,8.45761776e-01,4.95002449e-01,1.22746229e+00,1.68550827e+02,1.01654648e+05
1.84523821e-01,8.46155226e-01,4.94298428e-01,1.22787094e+00,1.68322235e+02,1.01701938e+05
1.84523821e-01,8.46013844e-01,4.94565904e-01,1.22772431e+00,1.68409302e+02,1.01684945e+05
1.84523821e-01,8.45871329e-01,4.94834542e-01,1.22757590e+00,1.68496780e+02,1.01667812e+05
1.88492060e-01,8.45983207e-01,4.94663686e-01,1.22769213e+00,1.68441772e+02,1.01681258e+05
1.88492060e-01,8.46131802e-01,4.94381756e-01,1.22784674e+00,1.68349945e+02,1.01699117e+05
1.88492060e-01,8.46279681e-01,4.94100988e-01,1.22799945e+00,1.68258560e+02,1.01716891e+05
1.92460313e-01,8.46406281e-01,4.93899405e-01,1.22813010e+00,1.68193558e+02,1.01732109e+05
