x_over_L,P_over_Pt,Mach,ro,u,P
1.96428582e-01,2.18421683e-01,1.64991748e+00,4.00756747e-01,4.55757385e+02,2.18421680e+04
1.96428582e-01,2.18424901e-01,1.64990687e+00,4.00760770e-01,4.55755493e+02,2.18424902e+04
2.00396836e-01,2.18424693e-01,1.64990807e+00,4.00760591e-01,4.55755676e+02,2.18424688e+04
2.00396836e-01,2.18421698e-01,1.64991808e+00,4.00757045e-01,4.55757385e+02,2.18421699e+04
2.00396836e-01,2.18424857e-01,1.64990747e+00,4.00760859e-01,4.55755554e+02,2.18424863e+04
2.04365090e-01,2.18424857e-01,1.64990747e+00,4.00760859e-01,4.55755554e+02,2.18424863e+04
2.04365090e-01,2.18421564e-01,1.64991891e+00,4.00756955e-01,4.55757538e+02,2.18421562e+04
2.04365090e-01,2.18424633e-01,1.64990842e+00,4.00760502e-01,4.55755768e+02,2.18424629e+04
2.08333328e-01,2.18424544e-01,1.64990926e+00,4.00760502e-01,4.55755951e+02,2.18424551e+04
2.08333328e-01,2.18421519e-01,1.64991868e+00,4.00756806e-01,4.55757507e+02,2.18421523e+04
2.08333328e-01,2.18424752e-01,1.64990795e+00,4.00760829e-01,4.55755585e+02,2.18424746e+04
2.12301567e-01,2.18424603e-01,1.64990878e+00,4.00760591e-01,4.55755829e+02,2.18424609e+04
2.12301567e-01,2.18421504e-01,1.64991868e+00,4.00756598e-01,4.55757568e+02,2.18421504e+04
2.12301567e-01,2.18424782e-01,1.64990795e+00,4.00760710e-01,4.55755707e+02,2.18424785e+04
2.16269836e-01,2.18424633e-01,1.64990842e+00,4.00760561e-01,4.55755737e+02,2.18424629e+04
2.16269836e-01,2.18421385e-01,1.64991903e+00,4.00756329e-01,4.55757690e+02,2.18421387e+04
2.16269836e-01,2.18424767e-01,1.64990854e+00,4.00760680e-01,4.55755859e+02,2.18424766e+04
2.20238090e-01,2.18424663e-01,1.64990938e+00,4.00760740e-01,4.55755951e+02,2.18424668e+04
2.20238090e-01,2.18421385e-01,1.64991903e+00,4.00756359e-01,4.55757721e+02,2.18421387e+04
2.20238090e-01,2.18424574e-01,1.64990842e+00,4.00760502e-01,4.55755737e+02,2.18424570e+04
2.24206328e-01,2.18424588e-01,1.64990890e+00,4.00760591e-01,4.55755829e+02,2.18424590e+04
2.24206328e-01,2.18421459e-01,1.64991868e+00,4.00756598e-01,4.55757568e+02,2.18421465e+04
2.24206328e-01,2.18424663e-01,1.64990926e+00,4.00760829e-01,4.55755920e+02,2.18424668e+04
2.28174582e-01,2.18424663e-01,1.64990890e+00,4.00760740e-01,4.55755798e+02,2.18424668e+04
2.28174582e-01,2.18421683e-01,1.64991820e+00,4.00756836e-01,4.55757538e+02,2.18421680e+04
2.28174582e-01,2.18424648e-01,1.64990962e+00,4.00760710e-01,4.55756012e+02,2.18424648e+04
2.32142851e-01,2.18424648e-01,1.64990890e+00,4.00760710e-01,4.55755798e+02,2.18424648e+04
2.32142851e-01,2.18421429e-01,1.64991891e+00,4.00756687e-01,4.55757538e+02,2.18421426e+04
2.32142851e-01,2.18424588e-01,1.64990985e+00,4.00760651e-01,4.55756073e+02,2.18424590e+04
2.36111119e-01,2.18424529e-01,1.64990985e+00,4.00760651e-01,4.55756042e+02,2.18424531e+04
2.36111119e-01,2.18421355e-01,1.64991927e+00,4.00756478e-01,4.55757660e+02,2.18421348e+04
2.36111119e-01,2.18424544e-01,1.64990890e+00,4.00760680e-01,4.55755768e+02,2.18424551e+04
2.40079388e-01,2.18424454e-01,1.64991009e+00,4.00760621e-01,4.55755981e+02,2.18424453e+04
2.40079388e-01,2.18421265e-01,1.64991963e+00,4.00756359e-01,4.55757721e+02,2.18421270e+04
2.40079388e-01,2.18424514e-01,1.64990962e+00,4.00760591e-01,4.55755951e+02,2.18424512e+04
2.44047627e-01,2.18424395e-01,1.64990997e+00,4.00760531e-01,4.55755951e+02,2.18424395e+04
2.44047627e-01,2.18421146e-01,1.64991975e+00,4.00756180e-01,4.55757751e+02,2.18421152e+04
2.44047627e-01,2.18424395e-01,1.64990985e+00,4.00760591e-01,4.55755890e+02,2.18424395e+04
2.48015881e-01,2.18424290e-01,1.64991033e+00,4.00760353e-01,4.55756042e+02,2.18424297e+04
2.48015881e-01,2.18421012e-01,1.64992058e+00,4.00756031e-01,4.55757935e+02,2.18421016e+04
2.48015881e-01,2.18424246e-01,1.64991033e+00,4.00760502e-01,4.55755920e+02,2.18424238e+04
2.51984119e-01,2.18424216e-01,1.64991033e+00,4.00760323e-01,4.55756012e+02,2.18424219e+04
2.51984119e-01,2.18420953e-01,1.64992058e+00,4.00755942e-01,4.55757935e+02,2.18420957e+04
2.51984119e-01,2.18424335e-01,1.64990997e+00,4.00760353e-01,4.55756012e+02,2.18424336e+04
2.55952388e-01,2.18424350e-01,1.64990962e+00,4.00760412e-01,4.55755920e+02,2.18424355e+04
2.55952388e-01,2.18421057e-01,1.64992011e+00,4.00756061e-01,4.55757812e+02,2.18421055e+04
2.55952388e-01,2.18424261e-01,1.64990950e+00,4.00760233e-01,4.55755890e+02,2.18424258e+04
2.59920627e-01,2.18424350e-01,1.64990938e+00,4.00760442e-01,4.55755798e+02,2.18424355e+04
2.59920627e-01,2.18421206e-01,1.64991927e+00,4.00756240e-01,4.55757660e+02,2.18421211e+04
2.59920627e-01,2.18424350e-01,1.64990878e+00,4.00760144e-01,4.55755829e+02,2.18424355e+04
2.63888866e-01,2.18424335e-01,1.64990878e+00,4.00760293e-01,4.55755737e+02,2.18424336e+04
2.63888866e-01,2.18421206e-01,1.64991903e+00,4.00756270e-01,4.55757568e+02,2.18421211e+04
2.63888866e-01,2.18424499e-01,1.64990854e+00,4.00760233e-01,4.55755829e+02,2.18424492e+04
2.67857105e-01,2.18424514e-01,1.64990842e+00,4.00760323e-01,4.55755768e+02,2.18424512e+04
2.67857105e-01,2.18421310e-01,1.64991844e+00,4.00756359e-01,4.55757446e+02,2.18421309e+04
2.67857105e-01,2.18424350e-01,1.64990890e+00,4.00760323e-01,4.55755768e+02,2.18424355e+04
2.71825403e-01,2.18424439e-01,1.64990866e+00,4.00760382e-01,4.55755737e+02,2.18424434e+04
2.71825403e-01,2.18421325e-01,1.64991844e+00,4.00756419e-01,4.55757446e+02,2.18421328e+04
2.71825403e-01,2.18424454e-01,1.64990878e+00,4.00760353e-01,4.55755768e+02,2.18424453e+04
2.75793672e-01,2.18424335e-01,1.64990854e+00,4.00760263e-01,4.55755676e+02,2.18424336e+04
2.75793672e-01,2.18421310e-01,1.64991891e+00,4.00756508e-01,4.55757538e+02,2.18421309e+04
2.75793672e-01,2.18424514e-01,1.64990938e+00,4.00760561e-01,4.55755890e+02,2.18424512e+04
2.79761910e-01,2.18424395e-01,1.64990866e+00,4.00760293e-01,4.55755737e+02,2.18424395e+04
2.79761910e-01,2.18421295e-01,1.64991879e+00,4.00756419e-01,4.55757477e+02,2.18421289e+04
2.79761910e-01,2.18424469e-01,1.64990890e+00,4.00760472e-01,4.55755829e+02,2.18424473e+04
2.83730179e-01,2.18424350e-01,1.64990854e+00,4.00760293e-01,4.55755676e+02,2.18424355e+04
2.83730179e-01,2.18421295e-01,1.64991820e+00,4.00756240e-01,4.55757416e+02,2.18421289e+04
2.83730179e-01,2.18424439e-01,1.64990962e+00,4.00760442e-01,4.55755951e+02,2.18424434e+04
2.87698418e-01,2.18424290e-01,1.64991009e+00,4.00760412e-01,4.55755951e+02,2.18424297e+04
2.87698418e-01,2.18421370e-01,1.64991820e+00,4.00756240e-01,4.55757538e+02,2.18421367e+04
2.87698418e-01,2.18424335e-01,1.64990902e+00,4.00760382e-01,4.55755737e+02,2.18424336e+04
2.91666657e-01,2.18424395e-01,1.64991021e+00,4.00760472e-01,4.55756073e+02,2.18424395e+04
2.91666657e-01,2.18421429e-01,1.64991832e+00,4.00756359e-01,4.55757568e+02,2.18421426e+04
2.91666657e-01,2.18424350e-01,1.64990926e+00,4.00760442e-01,4.55755768e+02,2.18424355e+04
2.95634896e-01,2.18424499e-01,1.64991057e+00,4.00760680e-01,4.55756134e+02,2.18424492e+04
2.95634896e-01,2.18421310e-01,1.64991891e+00,4.00756359e-01,4.55757568e+02,2.18421309e+04
2.95634896e-01,2.18424276e-01,1.64990878e+00,4.00760323e-01,4.55755615e+02,2.18424277e+04
