x_over_L,P_over_Pt,Mach,ro,u,P
2.20238090e-01,2.18394786e-01,1.65000033e+00,4.00721222e-01,4.55772400e+02,2.18394785e+04
2.24206328e-01,2.18394741e-01,1.65000045e+00,4.00721222e-01,4.55772400e+02,2.18394746e+04
2.24206328e-01,2.18394667e-01,1.65000010e+00,4.00720745e-01,4.55772461e+02,2.18394668e+04
2.24206328e-01,2.18394846e-01,1.65000010e+00,4.00721282e-01,4.55772339e+02,2.18394844e+04
2.28174582e-01,2.18394801e-01,1.65000010e+00,4.00721222e-01,4.55772339e+02,2.18394805e+04
2.28174582e-01,2.18394682e-01,1.64999986e+00,4.00720716e-01,4.55772430e+02,2.18394688e+04
2.28174582e-01,2.18394786e-01,1.65000010e+00,4.00721252e-01,4.55772308e+02,2.18394785e+04
2.32142851e-01,2.18394786e-01,1.65000010e+00,4.00721252e-01,4.55772308e+02,2.18394785e+04
2.32142851e-01,2.18394741e-01,1.64999974e+00,4.00720805e-01,4.55772400e+02,2.18394746e+04
2.32142851e-01,2.18394741e-01,1.65000033e+00,4.00721192e-01,4.55772369e+02,2.18394746e+04
2.36111119e-01,2.18394741e-01,1.65000057e+00,4.00721163e-01,4.55772430e+02,2.18394746e+04
2.36111119e-01,2.18394727e-01,1.64999974e+00,4.00720745e-01,4.55772430e+02,2.18394727e+04
2.36111119e-01,2.18394831e-01,1.64999974e+00,4.00721192e-01,4.55772308e+02,2.18394824e+04
2.40079388e-01,2.18394712e-01,1.65000081e+00,4.00721222e-01,4.55772430e+02,2.18394707e+04
2.40079388e-01,2.18394667e-01,1.65000045e+00,4.00720865e-01,4.55772491e+02,2.18394668e+04
2.40079388e-01,2.18394771e-01,1.65000021e+00,4.00721222e-01,4.55772339e+02,2.18394766e+04
2.44047627e-01,2.18394831e-01,1.64999998e+00,4.00721282e-01,4.55772308e+02,2.18394824e+04
2.44047627e-01,2.18394727e-01,1.65000010e+00,4.00720924e-01,4.55772430e+02,2.18394727e+04
2.44047627e-01,2.18394786e-01,1.64999986e+00,4.00721192e-01,4.55772278e+02,2.18394785e+04
2.48015881e-01,2.18394786e-01,1.65000010e+00,4.00721163e-01,4.55772339e+02,2.18394785e+04
2.48015881e-01,2.18394741e-01,1.65000010e+00,4.00720924e-01,4.55772461e+02,2.18394746e+04
2.48015881e-01,2.18394727e-01,1.65000033e+00,4.00721103e-01,4.55772400e+02,2.18394727e+04
2.51984119e-01,2.18394727e-01,1.65000045e+00,4.00721073e-01,4.55772430e+02,2.18394727e+04
2.51984119e-01,2.18394741e-01,1.64999986e+00,4.00720984e-01,4.55772339e+02,2.18394746e+04
2.51984119e-01,2.18394727e-01,1.65000021e+00,4.00721043e-01,4.55772430e+02,2.18394727e+04
2.55952388e-01,2.18394727e-01,1.65000057e+00,4.00721163e-01,4.55772430e+02,2.18394727e+04
2.55952388e-01,2.18394712e-01,1.64999998e+00,4.00720835e-01,4.55772400e+02,2.18394707e+04
2.55952388e-01,2.18394786e-01,1.65000033e+00,4.00721192e-01,4.55772400e+02,2.18394785e+04
