role,L_c,M_K,n_axis,hard_gate,error,x_K,ell_K,xi_K,s_K,Mpp_sign_changes,single_peak,theta_max_deg,min_mu_minus_theta_deg,flip_interior,topology_margin,downstream_max_dkds,downstream_J_dkds2,Mppp_jump,max_Mppp,J_axis
sweep,35.0,3.4,600,True,,6.5757930849081365,6.1511883706335375,0.17574823916095822,0.1802500590598572,1,True,19.028283187728817,-0.3256404377217016,0,0.058365776268750606,0.7881255346590053,0.09301005033073971,0.03236272583632173,0.14134976670646154,0.01837128240807389
sweep,35.0,3.5,600,True,,6.8939610125979485,6.4693562983233495,0.18483875138066713,0.17525016442955918,1,True,19.27775036777694,-0.44715176103181853,0,0.058255862298882174,0.6039265063929118,0.09048421195509786,0.028802203943521478,0.1323729783292332,0.016761139426901318
sweep,35.0,3.6,600,True,,7.217314792732829,6.79271007845823,0.19407743081309228,0.17016877599199146,1,True,19.536792627256386,-0.5822739711274546,0,0.057804762540711846,0.9278213228196637,0.12411671980863316,0.025709077718630565,0.1242966067033395,0.015358770268745738
sweep,35.0,3.7,600,True,,7.546116581383325,7.121511867108726,0.20347176763167787,0.16500177405864708,1,True,19.807336358514345,-0.7222407179670962,0,0.05717909467151839,1.3569310177528686,0.1734143245225574,0.023007959591531256,0.11699387405906864,0.014129126234534451
sweep,35.0,3.8,600,True,,7.880651396043135,7.456046681768536,0.21302990519338674,0.1597446796821145,1,True,20.090668132545126,-0.8637232145466173,0,0.05640657540171686,1.0755869069896598,0.1792659847148472,0.020637758958015156,0.11036004661890235,0.013044231744112459
sweep,35.0,3.9,600,True,,8.221230008060415,7.796625293785816,0.22276072267959474,0.15439260920229048,1,True,20.38788078153773,-1.0187441673790203,0,0.055641609013487726,1.7127179933282832,0.40522385349646034,0.018548561264964653,0.10430790144910741,0.012081541511933422
sweep,35.0,4.0,600,True,,8.568192323337017,8.143587609062418,0.23267393168749767,0.1489402211201433,1,True,20.698983830207833,-1.170420845709955,0,0.05465171725186819,2.180306569671169,0.5549258892317486,0.016699268647449136,0.09876425248747665,0.011222724357200325
sweep,40.0,1.5,600,False,,1.311630330032633,0.8870256157580345,0.02217564039395086,0.23010267415576469,1,True,16.45071729420429,0.5537762823788952,0,0.055854557442659825,40.69506910420727,209.85285652830896,2.2492311124651163,3.0131280236723903,2.0679202919181834
sweep,40.0,1.6,600,False,,1.5733007772966023,1.1486960630220038,0.028717401575550094,0.2265046242534041,1,True,16.357298589254246,0.6002517876435702,0,0.05610811593940291,31.23266007381178,120.58410139392839,1.3242988683457626,1.913976878246752,1.019956859248806
sweep,40.0,1.7,600,True,,1.8374702657144724,1.4128655514398738,0.035321638785996846,0.22287221175919444,1,True,16.284508405522807,0.6342338933517819,0,0.05640872208781718,22.455953408063866,78.96098487529335,0.8641531002903483,1.3434098903460887,0.5868967247704583
