stage,L_c,M_K,n_axis,robust,hard_gate,single_peak,x_F,x_E,xF_minus_xE,theta_max_deg,min_mu_minus_theta_deg,min_sin_angle_interior,flip_interior,crossings
coarse,38.5,2.9,600,False,True,True,93.7441960779094,38.9246047142746,54.81959136363479,16.56629186076984,0.870666028969147,0.05980245496114435,0,0
coarse,38.5,3.0,600,False,True,True,93.74419608782485,38.9246047142746,54.819591373550246,16.768562724945813,0.8169427589098731,0.06036882389440482,0,0
coarse,38.5,3.1,600,False,True,True,93.7441960985331,38.9246047142746,54.819591384258494,16.996033020630346,0.7402364047438775,0.061000191713056234,0,0
coarse,38.5,3.2,600,False,True,True,93.74419611009951,38.9246047142746,54.81959139582491,17.246913733304535,0.643651408705142,0.06173939461933417,0,0
coarse,39.0,2.2,600,False,True,True,94.13772142511984,39.4246047142746,54.713116710845235,16.087414432258573,0.7192051249443268,0.05703822790976612,0,0
coarse,39.0,2.3,600,False,True,True,94.13772145147394,39.4246047142746,54.713116737199336,15.992963772153225,0.7734554121766818,0.05740622384026545,0,0
coarse,39.0,2.4,600,False,True,True,94.13772147989111,39.4246047142746,54.71311676561651,15.93486532209772,0.8353436419801,0.05782535049674076,0,0
coarse,39.0,2.5,600,False,True,True,94.13772151051789,39.4246047142746,54.71311679624329,15.922834620393179,0.8985132203132532,0.05828546543278844,0,0
coarse,39.0,2.6,600,False,True,True,94.13772154351443,39.4246047142746,54.71311682923983,15.974337409379837,0.9521570080122688,0.05878952462159422,0,0
coarse,39.0,2.7,600,False,True,True,94.13772157905582,39.4246047142746,54.71311686478122,16.071037442689654,0.9849725020190211,0.05919783643126577,0,0
coarse,39.0,2.8,600,False,True,True,94.13772161733294,39.4246047142746,54.71311690305834,16.20775471762648,0.9920775631564345,0.05980053027098847,0,0
coarse,39.0,2.9,600,False,True,True,94.13772165855532,39.4246047142746,54.71311694428072,16.37962962601303,0.9715176536555691,0.06031439419668513,0,0
coarse,39.0,3.0,600,False,True,True,94.13772170295242,39.4246047142746,54.71311698867782,16.58242051826258,0.9216335094762074,0.06089433981486203,0,0
coarse,39.0,3.1,600,False,True,True,94.13772175077703,39.4246047142746,54.71311703650243,16.812608906134866,0.8457348374285085,0.06153719717136832,0,0
coarse,39.0,3.2,600,False,True,True,94.13772180230714,39.4246047142746,54.71311708803254,17.066767644134696,0.7500070663685392,0.062247681657679924,0,0
coarse,39.5,2.2,600,False,True,True,94.53306274867714,39.9246047142746,54.60845803440254,15.937458341358328,0.7971540358113609,0.05749973814408195,0,0
coarse,39.5,2.3,600,False,True,True,94.53306282098087,39.9246047142746,54.60845810670627,15.835319631803822,0.8576888619308847,0.057953154149088235,0,0
coarse,39.5,2.4,600,False,True,True,94.53306289869785,39.9246047142746,54.60845818442325,15.765448964746538,0.9134426095244006,0.058313702393280965,0,0
coarse,39.5,2.5,600,False,True,True,94.53306298220781,39.9246047142746,54.60845826793321,15.754799960654466,0.9753619834845022,0.058752742899486295,0,0
coarse,39.5,2.6,600,True,True,True,94.53306307192427,39.9246047142746,54.608458357649674,15.792596787564063,1.0327097660286202,0.059264409555758395,0,0
