Step , TotalTime , T , P , Ux , Uy , Uz
4620 , 2.30948e-06 , 232.37 , 647.869 , 431.651 , 5.29718 , 0.172848
4640 , 2.31948e-06 , 232.375 , 647.964 , 431.688 , 5.31071 , 0.173321
4660 , 2.32948e-06 , 232.38 , 648.064 , 431.726 , 5.32367 , 0.173772
4680 , 2.33948e-06 , 232.385 , 648.167 , 431.764 , 5.33612 , 0.174204
4700 , 2.34948e-06 , 232.391 , 648.274 , 431.802 , 5.34814 , 0.174619
4720 , 2.35948e-06 , 232.397 , 648.383 , 431.841 , 5.35979 , 0.17502
4740 , 2.36948e-06 , 232.403 , 648.496 , 431.88 , 5.37109 , 0.175408
4760 , 2.37948e-06 , 232.41 , 648.612 , 431.918 , 5.38217 , 0.175787
4780 , 2.38948e-06 , 232.416 , 648.729 , 431.957 , 5.39308 , 0.176161
4800 , 2.39948e-06 , 232.423 , 648.849 , 431.995 , 5.40392 , 0.176531
4820 , 2.40948e-06 , 232.43 , 648.969 , 432.034 , 5.41482 , 0.176905
4840 , 2.41948e-06 , 232.438 , 649.091 , 432.073 , 5.42578 , 0.177282
4860 , 2.42948e-06 , 232.445 , 649.212 , 432.111 , 5.43692 , 0.177665
4880 , 2.43948e-06 , 232.452 , 649.332 , 432.148 , 5.44834 , 0.17806
4900 , 2.44948e-06 , 232.46 , 649.454 , 432.185 , 5.46006 , 0.178468
4920 , 2.45948e-06 , 232.466 , 649.574 , 432.221 , 5.4722 , 0.178892
4940 , 2.46948e-06 , 232.473 , 649.692 , 432.256 , 5.48487 , 0.179338
4960 , 2.47948e-06 , 232.48 , 649.81 , 432.29 , 5.49811 , 0.179806
4980 , 2.48948e-06 , 232.487 , 649.925 , 432.324 , 5.51197 , 0.180299
5000 , 2.49948e-06 , 232.493 , 650.037 , 432.356 , 5.52653 , 0.18082
5020 , 2.50948e-06 , 232.499 , 650.146 , 432.388 , 5.54187 , 0.181372
5040 , 2.51947e-06 , 232.505 , 650.252 , 432.419 , 5.55806 , 0.181958
5060 , 2.52947e-06 , 232.51 , 650.354 , 432.448 , 5.57515 , 0.18258
5080 , 2.53947e-06 , 232.515 , 650.453 , 432.476 , 5.59314 , 0.183238
5100 , 2.54947e-06 , 232.52 , 650.546 , 432.503 , 5.61211 , 0.183935
5120 , 2.55947e-06 , 232.524 , 650.634 , 432.528 , 5.63211 , 0.184673
5140 , 2.56947e-06 , 232.527 , 650.717 , 432.552 , 5.65318 , 0.185455
5160 , 2.57947e-06 , 232.53 , 650.795 , 432.574 , 5.67527 , 0.186278
5180 , 2.58947e-06 , 232.533 , 650.868 , 432.594 , 5.6984 , 0.187143
5200 , 2.59947e-06 , 232.535 , 650.935 , 432.613 , 5.72247 , 0.188047
5220 , 2.60947e-06 , 232.537 , 650.996 , 432.631 , 5.74781 , 0.189002
5240 , 2.61947e-06 , 232.538 , 651.052 , 432.646 , 5.77446 , 0.190009
5260 , 2.62947e-06 , 232.539 , 651.1 , 432.66 , 5.80212 , 0.191055
5280 , 2.63947e-06 , 232.539 , 651.142 , 432.671 , 5.83094 , 0.192146
5300 , 2.64947e-06 , 232.539 , 651.176 , 432.681 , 5.86096 , 0.193284
5320 , 2.65947e-06 , 232.538 , 651.203 , 432.688 , 5.89225 , 0.19447
5340 , 2.66947e-06 , 232.536 , 651.222 , 432.693 , 5.9248 , 0.195705
5360 , 2.67947e-06 , 232.534 , 651.234 , 432.696 , 5.95862 , 0.19699
5380 , 2.68947e-06 , 232.531 , 651.237 , 432.697 , 5.99372 , 0.198325
5400 , 2.69947e-06 , 232.527 , 651.233 , 432.695 , 6.03009 , 0.19971
5420 , 2.70947e-06 , 232.523 , 651.219 , 432.691 , 6.06763 , 0.201142
5440 , 2.71947e-06 , 232.519 , 651.199 , 432.684 , 6.10635 , 0.20262
5460 , 2.72947e-06 , 232.513 , 651.17 , 432.676 , 6.14627 , 0.204146
5480 , 2.73947e-06 , 232.508 , 651.133 , 432.665 , 6.18725 , 0.205713
5500 , 2.74947e-06 , 232.502 , 651.089 , 432.651 , 6.22925 , 0.207321
5520 , 2.75947e-06 , 232.495 , 651.037 , 432.635 , 6.2722 , 0.208967
5540 , 2.76947e-06 , 232.488 , 650.977 , 432.617 , 6.3162 , 0.210654
5560 , 2.77947e-06 , 232.481 , 650.909 , 432.597 , 6.36117 , 0.21238
5580 , 2.78947e-06 , 232.473 , 650.833 , 432.573 , 6.40702 , 0.21414
5600 , 2.79947e-06 , 232.465 , 650.749 , 432.548 , 6.45367 , 0.215933
5620 , 2.80947e-06 , 232.456 , 650.658 , 432.52 , 6.50104 , 0.217755
5640 , 2.81947e-06 , 232.447 , 650.559 , 432.49 , 6.54905 , 0.219603
5660 , 2.82947e-06 , 232.437 , 650.454 , 432.457 , 6.59759 , 0.221473
5680 , 2.83947e-06 , 232.427 , 650.341 , 432.422 , 6.64655 , 0.223362
5700 , 2.84947e-06 , 232.417 , 650.222 , 432.386 , 6.6958 , 0.225263
5720 , 2.85947e-06 , 232.407 , 650.097 , 432.346 , 6.74522 , 0.227173
5740 , 2.86947e-06 , 232.396 , 649.966 , 432.305 , 6.7947 , 0.229086
5760 , 2.87947e-06 , 232.386 , 649.831 , 432.262 , 6.84411 , 0.230995
5780 , 2.88947e-06 , 232.375 , 649.69 , 432.217 , 6.89329 , 0.232895
5800 , 2.89947e-06 , 232.364 , 649.545 , 432.17 , 6.94215 , 0.234782
5820 , 2.90947e-06 , 232.353 , 649.397 , 432.121 , 6.99054 , 0.23665
5840 , 2.91947e-06 , 232.342 , 649.244 , 432.071 , 7.03831 , 0.238492
5860 , 2.92947e-06 , 232.331 , 649.09 , 432.019 , 7.0853 , 0.240301
