Step , TotalTime , T , P , Ux , Uy , Uz
3400 , 1.69948e-06 , 224.659 , 1446.67 , 530.369 , 37.037 , 0.961325
3420 , 1.70948e-06 , 224.617 , 1447.78 , 530.435 , 36.9404 , 0.985197
3440 , 1.71948e-06 , 224.58 , 1448.93 , 530.522 , 36.8626 , 1.0182
3460 , 1.72948e-06 , 224.542 , 1449.96 , 530.613 , 36.8148 , 1.0614
3480 , 1.73948e-06 , 224.501 , 1450.78 , 530.696 , 36.8035 , 1.11488
3500 , 1.74948e-06 , 224.456 , 1451.29 , 530.756 , 36.8327 , 1.17786
3520 , 1.75948e-06 , 224.407 , 1451.44 , 530.78 , 36.9047 , 1.24898
3540 , 1.76948e-06 , 224.356 , 1451.21 , 530.761 , 37.0176 , 1.32647
3560 , 1.77948e-06 , 224.308 , 1450.65 , 530.699 , 37.1643 , 1.40847
3580 , 1.78948e-06 , 224.268 , 1449.84 , 530.597 , 37.3343 , 1.49338
3600 , 1.79948e-06 , 224.235 , 1448.85 , 530.457 , 37.5191 , 1.58013
3620 , 1.80948e-06 , 224.211 , 1447.67 , 530.274 , 37.7144 , 1.66831
3640 , 1.81948e-06 , 224.194 , 1446.3 , 530.038 , 37.9183 , 1.7579
3660 , 1.82948e-06 , 224.185 , 1444.74 , 529.749 , 38.1253 , 1.84879
3680 , 1.83948e-06 , 224.192 , 1443.12 , 529.42 , 38.3219 , 1.94038
3700 , 1.84948e-06 , 224.221 , 1441.63 , 529.078 , 38.4877 , 2.03146
3720 , 1.85948e-06 , 224.276 , 1440.46 , 528.752 , 38.6048 , 2.12049
3740 , 1.86948e-06 , 224.353 , 1439.72 , 528.459 , 38.6679 , 2.20603
3760 , 1.87948e-06 , 224.44 , 1439.31 , 528.196 , 38.6892 , 2.28703
3780 , 1.88948e-06 , 224.524 , 1439.02 , 527.944 , 38.6935 , 2.36271
3800 , 1.89948e-06 , 224.596 , 1438.61 , 527.682 , 38.7052 , 2.43223
3820 , 1.90948e-06 , 224.655 , 1437.99 , 527.4 , 38.736 , 2.49432
3840 , 1.91948e-06 , 224.707 , 1437.19 , 527.11 , 38.7806 , 2.54717
3860 , 1.92948e-06 , 224.76 , 1436.39 , 526.834 , 38.8226 , 2.58877
3880 , 1.93948e-06 , 224.818 , 1435.75 , 526.595 , 38.8462 , 2.61745
3900 , 1.94948e-06 , 224.879 , 1435.33 , 526.399 , 38.8458 , 2.63221
3920 , 1.95948e-06 , 224.936 , 1435.07 , 526.237 , 38.8276 , 2.63288
3940 , 1.96948e-06 , 224.982 , 1434.82 , 526.091 , 38.8058 , 2.61988
3960 , 1.97948e-06 , 225.012 , 1434.43 , 525.938 , 38.7945 , 2.59393
3980 , 1.98948e-06 , 225.028 , 1433.81 , 525.764 , 38.8006 , 2.55574
4000 , 1.99948e-06 , 225.033 , 1432.99 , 525.571 , 38.8201 , 2.50585
4020 , 2.00948e-06 , 225.039 , 1432.12 , 525.375 , 38.8376 , 2.44458
4040 , 2.01948e-06 , 225.055 , 1431.45 , 525.207 , 38.8307 , 2.37225
4060 , 2.02948e-06 , 225.086 , 1431.19 , 525.097 , 38.7792 , 2.28947
4080 , 2.03948e-06 , 225.13 , 1431.46 , 525.064 , 38.6748 , 2.19756
4100 , 2.04948e-06 , 225.178 , 1432.21 , 525.104 , 38.5255 , 2.09866
4120 , 2.05948e-06 , 225.217 , 1433.24 , 525.193 , 38.3527 , 1.99554
4140 , 2.06948e-06 , 225.234 , 1434.25 , 525.296 , 38.183 , 1.89119
4160 , 2.07948e-06 , 225.221 , 1434.99 , 525.376 , 38.0403 , 1.78849
4180 , 2.08948e-06 , 225.177 , 1435.24 , 525.401 , 37.9405 , 1.68977
4200 , 2.09948e-06 , 225.104 , 1434.91 , 525.353 , 37.8888 , 1.59667
4220 , 2.10948e-06 , 225.013 , 1434.04 , 525.228 , 37.8804 , 1.51018
4240 , 2.11948e-06 , 224.916 , 1432.78 , 525.042 , 37.9014 , 1.43066
4260 , 2.12948e-06 , 224.825 , 1431.36 , 524.817 , 37.9352 , 1.35806
4280 , 2.13948e-06 , 224.746 , 1429.94 , 524.576 , 37.9698 , 1.29231
4300 , 2.14948e-06 , 224.68 , 1428.59 , 524.325 , 38.0034 , 1.23357
4320 , 2.15948e-06 , 224.625 , 1427.28 , 524.061 , 38.0419 , 1.18213
4340 , 2.16948e-06 , 224.58 , 1425.97 , 523.779 , 38.0904 , 1.13817
4360 , 2.17948e-06 , 224.548 , 1424.67 , 523.481 , 38.146 , 1.10151
4380 , 2.18948e-06 , 224.534 , 1423.45 , 523.178 , 38.1987 , 1.07168
4400 , 2.19948e-06 , 224.54 , 1422.41 , 522.882 , 38.2375 , 1.04826
4420 , 2.20948e-06 , 224.567 , 1421.59 , 522.604 , 38.2557 , 1.03117
4440 , 2.21948e-06 , 224.616 , 1421.04 , 522.355 , 38.2505 , 1.0207
4460 , 2.22948e-06 , 224.686 , 1420.81 , 522.148 , 38.2195 , 1.01742
4480 , 2.23948e-06 , 224.776 , 1420.95 , 522 , 38.1601 , 1.02215
4500 , 2.24948e-06 , 224.884 , 1421.47 , 521.922 , 38.0733 , 1.03593
4520 , 2.25948e-06 , 225 , 1422.31 , 521.912 , 37.9686 , 1.06011
4540 , 2.26948e-06 , 225.114 , 1423.32 , 521.957 , 37.8629 , 1.09595
4560 , 2.27948e-06 , 225.218 , 1424.33 , 522.041 , 37.7726 , 1.1442
4580 , 2.28948e-06 , 225.314 , 1425.28 , 522.159 , 37.7031 , 1.20459
4600 , 2.29948e-06 , 225.407 , 1426.27 , 522.321 , 37.6454 , 1.2756
4620 , 2.30948e-06 , 225.505 , 1427.45 , 522.55 , 37.5809 , 1.35482
4640 , 2.31948e-06 , 225.611 , 1429.01 , 522.865 , 37.4929 , 1.43953
4660 , 2.32948e-06 , 225.725 , 1431 , 523.272 , 37.377 , 1.52731
4680 , 2.33948e-06 , 225.836 , 1433.33 , 523.757 , 37.2447 , 1.6163
4700 , 2.34948e-06 , 225.937 , 1435.79 , 524.292 , 37.1173 , 1.70513
4720 , 2.35948e-06 , 226.022 , 1438.18 , 524.851 , 37.0131 , 1.79249
4740 , 2.36948e-06 , 226.093 , 1440.45 , 525.425 , 36.9375 , 1.87685
4760 , 2.37948e-06 , 226.156 , 1442.63 , 526.017 , 36.882 , 1.95651
4780 , 2.38948e-06 , 226.213 , 1444.83 , 526.636 , 36.8346 , 2.02999
4800 , 2.39948e-06 , 226.263 , 1447.07 , 527.277 , 36.7904 , 2.09637
4820 , 2.40948e-06 , 226.3 , 1449.27 , 527.926 , 36.7534 , 2.15526
4840 , 2.41948e-06 , 226.321 , 1451.33 , 528.563 , 36.7303 , 2.20639
4860 , 2.42948e-06 , 226.324 , 1453.21 , 529.179 , 36.7233 , 2.24932
4880 , 2.43948e-06 , 226.313 , 1454.93 , 529.768 , 36.7297 , 2.28336
4900 , 2.44948e-06 , 226.285 , 1456.45 , 530.324 , 36.749 , 2.30796
4920 , 2.45948e-06 , 226.239 , 1457.72 , 530.829 , 36.7874 , 2.32297
4940 , 2.46948e-06 , 226.172 , 1458.63 , 531.265 , 36.8533 , 2.32855
4960 , 2.47948e-06 , 226.086 , 1459.11 , 531.617 , 36.9499 , 2.32497
4980 , 2.48948e-06 , 225.985 , 1459.18 , 531.883 , 37.0723 , 2.31246
5000 , 2.49948e-06 , 225.873 , 1458.88 , 532.059 , 37.2139 , 2.2915
5020 , 2.50948e-06 , 225.749 , 1458.17 , 532.132 , 37.3741 , 2.263
5040 , 2.51947e-06 , 225.613 , 1456.99 , 532.087 , 37.5571 , 2.22822
5060 , 2.52947e-06 , 225.47 , 1455.31 , 531.92 , 37.7623 , 2.18843
5080 , 2.53947e-06 , 225.332 , 1453.29 , 531.645 , 37.9773 , 2.14447
5100 , 2.54947e-06 , 225.21 , 1451.15 , 531.296 , 38.1806 , 2.09691
5120 , 2.55947e-06 , 225.113 , 1449.12 , 530.904 , 38.3527 , 2.04635
5140 , 2.56947e-06 , 225.04 , 1447.32 , 530.487 , 38.487 , 1.99386
5160 , 2.57947e-06 , 224.986 , 1445.67 , 530.044 , 38.5918 , 1.94096
5180 , 2.58947e-06 , 224.944 , 1444.05 , 529.566 , 38.682 , 1.88934
5200 , 2.59947e-06 , 224.912 , 1442.35 , 529.05 , 38.7683 , 1.84038
5220 , 2.60947e-06 , 224.893 , 1440.58 , 528.503 , 38.85 , 1.79489
5240 , 2.61947e-06 , 224.894 , 1438.86 , 527.949 , 38.9154 , 1.75319
5260 , 2.62947e-06 , 224.919 , 1437.37 , 527.419 , 38.9474 , 1.71529
5280 , 2.63947e-06 , 224.97 , 1436.29 , 526.943 , 38.9321 , 1.68131
5300 , 2.64947e-06 , 225.044 , 1435.69 , 526.541 , 38.8657 , 1.65172
5320 , 2.65947e-06 , 225.13 , 1435.51 , 526.214 , 38.7568 , 1.62733
5340 , 2.66947e-06 , 225.219 , 1435.6 , 525.951 , 38.6225 , 1.60915
5360 , 2.67947e-06 , 225.301 , 1435.82 , 525.736 , 38.4801 , 1.59798
5380 , 2.68947e-06 , 225.372 , 1436.04 , 525.56 , 38.3406 , 1.5941
5400 , 2.69947e-06 , 225.43 , 1436.21 , 525.415 , 38.2082 , 1.59727
5420 , 2.70947e-06 , 225.474 , 1436.32 , 525.297 , 38.0833 , 1.6068
5440 , 2.71947e-06 , 225.503 , 1436.35 , 525.201 , 37.9649 , 1.62176
5460 , 2.72947e-06 , 225.519 , 1436.33 , 525.127 , 37.8505 , 1.64101
5480 , 2.73947e-06 , 225.526 , 1436.36 , 525.083 , 37.7346 , 1.66321
5500 , 2.74947e-06 , 225.529 , 1436.54 , 525.082 , 37.6096 , 1.68698
5520 , 2.75947e-06 , 225.53 , 1436.96 , 525.133 , 37.4708 , 1.71112
5540 , 2.76947e-06 , 225.527 , 1437.64 , 525.237 , 37.3194 , 1.73487
5560 , 2.77947e-06 , 225.518 , 1438.52 , 525.382 , 37.1641 , 1.75796
5580 , 2.78947e-06 , 225.5 , 1439.49 , 525.553 , 37.0161 , 1.78047
5600 , 2.79947e-06 , 225.472 , 1440.44 , 525.732 , 36.8852 , 1.80265
5620 , 2.80947e-06 , 225.435 , 1441.29 , 525.904 , 36.7778 , 1.82483
5640 , 2.81947e-06 , 225.39 , 1441.97 , 526.059 , 36.6973 , 1.84734
5660 , 2.82947e-06 , 225.34 , 1442.44 , 526.186 , 36.6454 , 1.87044
