x,M_axis_run1,M_axis_run2,Mfit_run1,Mfit_run2
5.212560063228011131e-04,9.236997365951538086e-01,9.239280223846435547e-01,9.235632419586181641e-01,9.234572052955627441e-01
8.166569750756025314e-04,9.423053264617919922e-01,9.425668716430664062e-01,9.421626329421997070e-01,9.420427083969116211e-01
1.112482044845819473e-03,9.610660076141357422e-01,9.613877534866333008e-01,9.609245061874389648e-01,9.608018398284912109e-01
1.408883021213114262e-03,9.799911975860595703e-01,9.804016351699829102e-01,9.798508882522583008e-01,9.797327518463134766e-01
1.706017996184527874e-03,9.990893602371215820e-01,9.995983839035034180e-01,9.989500641822814941e-01,9.988385438919067383e-01
2.004042966291308403e-03,1.018368721008300781e+00,1.018980264663696289e+00,1.018227577209472656e+00,1.018120884895324707e+00
2.303120912984013557e-03,1.037819147109985352e+00,1.038543701171875000e+00,1.037679076194763184e+00,1.037578940391540527e+00
2.603414934128522873e-03,1.057448148727416992e+00,1.058237552642822266e+00,1.057309627532958984e+00,1.057220458984375000e+00
2.905091969296336174e-03,1.077255845069885254e+00,1.078092575073242188e+00,1.077118158340454102e+00,1.077039957046508789e+00
3.208325011655688286e-03,1.097245454788208008e+00,1.098126411437988281e+00,1.097109794616699219e+00,1.097033381462097168e+00
3.513290081173181534e-03,1.117418527603149414e+00,1.118342161178588867e+00,1.117284893989562988e+00,1.117209196090698242e+00
3.820168087258934975e-03,1.137773990631103516e+00,1.138741016387939453e+00,1.137643098831176758e+00,1.137571096420288086e+00
4.129143897444009781e-03,1.158313274383544922e+00,1.159308433532714844e+00,1.158185005187988281e+00,1.158120632171630859e+00
4.440412856638431549e-03,1.179037570953369141e+00,1.180056810379028320e+00,1.178913116455078125e+00,1.178857326507568359e+00
4.754174966365098953e-03,1.199949979782104492e+00,1.200999975204467773e+00,1.199829697608947754e+00,1.199782848358154297e+00
5.070643965154886246e-03,1.221053838729858398e+00,1.222123146057128906e+00,1.220937490463256836e+00,1.220901370048522949e+00
5.390025209635496140e-03,1.242350101470947266e+00,1.243451476097106934e+00,1.242238521575927734e+00,1.242212772369384766e+00
5.712559912353754044e-03,1.263842463493347168e+00,1.264969825744628906e+00,1.263735890388488770e+00,1.263721942901611328e+00
6.038473919034004211e-03,1.285537719726562500e+00,1.286687970161437988e+00,1.285436034202575684e+00,1.285434007644653320e+00
6.368015892803668976e-03,1.307441592216491699e+00,1.308619618415832520e+00,1.307344555854797363e+00,1.307353973388671875e+00
6.701449863612651825e-03,1.329563975334167480e+00,1.330774545669555664e+00,1.329471468925476074e+00,1.329492092132568359e+00
7.039050105959177017e-03,1.351918578147888184e+00,1.353160262107849121e+00,1.351830124855041504e+00,1.351860880851745605e+00
7.381103001534938812e-03,1.374520182609558105e+00,1.375803351402282715e+00,1.374435186386108398e+00,1.374474167823791504e+00
7.727909833192825317e-03,1.397387266159057617e+00,1.398720622062683105e+00,1.397305011749267578e+00,1.397351384162902832e+00
8.079783990979194641e-03,1.420542240142822266e+00,1.421921730041503906e+00,1.420462131500244141e+00,1.420515537261962891e+00
8.437081240117549896e-03,1.444010496139526367e+00,1.445449471473693848e+00,1.443932056427001953e+00,1.443990826606750488e+00
8.800144307315349579e-03,1.467820525169372559e+00,1.469324231147766113e+00,1.467743277549743652e+00,1.467808127403259277e+00
9.169355034828186035e-03,1.492003321647644043e+00,1.493591785430908203e+00,1.491927742958068848e+00,1.491997718811035156e+00
9.545114822685718536e-03,1.516591548919677734e+00,1.518268942832946777e+00,1.516517996788024902e+00,1.516595125198364258e+00
9.927843697369098663e-03,1.541622161865234375e+00,1.543398618698120117e+00,1.541550874710083008e+00,1.541635036468505859e+00
1.031800918281078339e-02,1.567129850387573242e+00,1.569012641906738281e+00,1.567061543464660645e+00,1.567154645919799805e+00
1.071607042104005814e-02,1.593149304389953613e+00,1.595156908035278320e+00,1.593085885047912598e+00,1.593187570571899414e+00
1.112253963947296143e-02,1.619716167449951172e+00,1.621852874755859375e+00,1.619658708572387695e+00,1.619770050048828125e+00
1.153794862329959869e-02,1.646863937377929688e+00,1.649142742156982422e+00,1.646815061569213867e+00,1.646936178207397461e+00
1.196287572383880615e-02,1.674626588821411133e+00,1.677052259445190430e+00,1.674587726593017578e+00,1.674720644950866699e+00
1.239790767431259155e-02,1.703033566474914551e+00,1.705615282058715820e+00,1.703007340431213379e+00,1.703151822090148926e+00
1.284367498010396957e-02,1.732115745544433594e+00,1.734865427017211914e+00,1.732103943824768066e+00,1.732261896133422852e+00
1.330084353685379028e-02,1.761902213096618652e+00,1.764821290969848633e+00,1.761906862258911133e+00,1.762080192565917969e+00
1.377010159194469452e-02,1.792421102523803711e+00,1.795503377914428711e+00,1.792443394660949707e+00,1.792635202407836914e+00
1.425216905772686005e-02,1.823698401451110840e+00,1.826951026916503906e+00,1.823741555213928223e+00,1.823955059051513672e+00
1.474778633564710617e-02,1.855762958526611328e+00,1.859177112579345703e+00,1.855829000473022461e+00,1.856069207191467285e+00
1.525771524757146835e-02,1.888642668724060059e+00,1.892216563224792480e+00,1.888734459877014160e+00,1.889006137847900391e+00
1.578271761536598206e-02,1.922366261482238770e+00,1.926097154617309570e+00,1.922484397888183594e+00,1.922791481018066406e+00
1.632357574999332428e-02,1.956960082054138184e+00,1.960847020149230957e+00,1.957106351852416992e+00,1.957452297210693359e+00
1.688103191554546356e-02,1.992446064949035645e+00,1.996482372283935547e+00,1.992621421813964844e+00,1.993010282516479492e+00
1.745581068098545074e-02,2.028839826583862305e+00,2.033027410507202148e+00,2.029046535491943359e+00,2.029484033584594727e+00
1.804858818650245667e-02,2.066153526306152344e+00,2.070499420166015625e+00,2.066394805908203125e+00,2.066887617111206055e+00
1.865994371473789215e-02,2.104392051696777344e+00,2.108911514282226562e+00,2.104670047760009766e+00,2.105226039886474609e+00
1.929037272930145264e-02,2.143552303314208984e+00,2.148255348205566406e+00,2.143870115280151367e+00,2.144493818283081055e+00
1.994022913277149200e-02,2.183621644973754883e+00,2.188486099243164062e+00,2.183983325958251953e+00,2.184679031372070312e+00
2.060971036553382874e-02,2.224576711654663086e+00,2.229569911956787109e+00,2.224986076354980469e+00,2.225749969482421875e+00
2.129882201552391052e-02,2.266374349594116211e+00,2.271479368209838867e+00,2.266835927963256836e+00,2.267664194107055664e+00
2.200736477971076965e-02,2.308959245681762695e+00,2.314149856567382812e+00,2.309477329254150391e+00,2.310366630554199219e+00
2.273490838706493378e-02,2.352255105972290039e+00,2.357508182525634766e+00,2.352834224700927734e+00,2.353782892227172852e+00
2.348080463707447052e-02,2.396171569824218750e+00,2.401484727859497070e+00,2.396816253662109375e+00,2.397823333740234375e+00
2.424418181180953979e-02,2.440602779388427734e+00,2.445934534072875977e+00,2.441315412521362305e+00,2.442384481430053711e+00
2.502396516501903534e-02,2.485425949096679688e+00,2.490758180618286133e+00,2.486209869384765625e+00,2.487344026565551758e+00
2.581892907619476318e-02,2.530512332916259766e+00,2.535824060440063477e+00,2.531371831893920898e+00,2.532575845718383789e+00
2.662771940231323242e-02,2.575727224349975586e+00,2.580989360809326172e+00,2.576664924621582031e+00,2.577947854995727539e+00
