# forge res_12000.h5 axis (j=0) values; Pt/P for matching with CEA
x_m,x_over_rt,Pt_over_P,P,T,rho,u,a,M,h0
0.23620513,1.1217949,4.278683105446183,265735.96875,737.6467895507812,1.2600016593933105,860.1151123046875,532.5193481445312,1.6151809606573082,836251.4036349324
0.24596539,1.1681488,4.479475779202128,253824.34375,729.0201416015625,1.2177637815475464,871.2235107421875,529.5831298828125,1.6451119032718697,836253.3413137473
0.25597724,1.2156974,4.6970312229805975,242067.796875,720.1869506835938,1.1756041049957275,882.4295654296875,526.5568237304688,1.6758486941219113,836255.2539560696
0.26625782,1.2645223,4.933313021924729,230473.921875,711.1390991210938,1.1335391998291016,893.7385864257812,523.4357299804688,1.7074466553116843,836257.4024946955
0.2768259,1.3147128,5.190537625941047,219052.453125,701.8687744140625,1.091594934463501,905.154052734375,520.2149658203125,1.7399615778201667,836259.6777472703
0.28770068,1.3663597,5.471180701516823,207816.203125,692.3707885742188,1.0498082637786865,916.6768798828125,516.8905029296875,1.7734450037042135,836262.0069926179
0.29890296,1.419562,5.778048703214445,196779.234375,682.6401977539062,1.0082231760025024,928.3063354492188,513.4580688476562,1.8079496491945257,836264.5463259092
0.3104539,1.4744201,6.114274109341216,185958.296875,672.67578125,0.9668943881988525,940.0383911132812,509.9145202636719,1.8435215193071899,836267.1189779479
0.32237497,1.5310361,6.483404985079829,175370.8125,662.4771728515625,0.9258821606636047,951.8677368164062,506.2568359375,1.880207177950915,836269.8925369156
0.33468834,1.5895153,6.8894555201800225,165034.8125,652.0455322265625,0.8852519989013672,963.7871704101562,502.48236083984375,1.9180517477256167,836272.9634259589
0.3474162,1.649963,7.336971974557743,154968.5625,641.384033203125,0.845073938369751,975.787841796875,498.58892822265625,1.9570988976335926,836275.8634627141
0.36057973,1.7124797,7.831069808206158,145190.890625,630.49853515625,0.8054240345954895,987.8587036132812,494.5751953125,1.9973882899426394,836278.8409502624
0.37419933,1.7771626,8.377510170544639,135720.515625,619.3973999023438,0.7663823366165161,999.9860229492188,490.4405822753906,2.0389544811112508,836282.0977249384
0.3882931,1.8440971,8.982714496132031,126576.4375,608.0924072265625,0.728035569190979,1012.153076171875,486.18572998046875,2.081823907527141,836285.0759154146
0.40287626,1.9133562,9.653776502099326,117777.7421875,596.600341796875,0.690476655960083,1024.3397216796875,481.81304931640625,2.1260107486358355,836288.082230085
0.4179605,1.9849948,10.398495384817423,109342.7421875,584.9420166015625,0.6538023352622986,1036.521728515625,477.3265380859375,2.1715149814884387,836290.8312619319
0.43355218,2.0590434,11.225304076500151,101289.015625,573.14404296875,0.6181129217147827,1048.6710205078125,472.732666015625,2.218317234868536,836293.3130259414
0.44965193,2.135505,12.143236726282304,93632.3671875,561.2379150390625,0.5835099816322327,1060.75634765625,468.0399475097656,2.2663799389348434,836295.7169515264
0.46625373,2.214351,13.161795414461443,86386.390625,549.2600708007812,0.5500935316085815,1072.742431640625,463.2593994140625,2.315640941117322,836297.6392937162
0.48334464,2.2955198,14.290824604421283,79561.5390625,537.2518920898438,0.5179579257965088,1084.5919189453125,458.4045104980469,2.3660149368227774,836298.6378601714
